Persephona_crinita_LA_USA,Persephona_crinita_TX_USA,Persephona_crinita_MEX,Persephona_crinita_BA_BRA,Persephona_crinita_SP_BRA,Persephona_finneganae_ES_BRA,Persephona_finneganae_VEN,Persephona_lichtensteinii_COL,Persephona_lichtensteinii_HON,Persephona_lichtensteinii_BA_BRA,Persephona_lichtensteinii_SC_BRA,Persephona_mediterranea_SP_BRA,Persephona_mediterranea_SP_BRA,Persephona_mediterranea_MEX,Persephona_mediterranea_TX_USA,Persephona_mediterranea_MEX,Persephona_punctata_SP_BRA,Persephona_punctata_CRI,Persephona_orbicularis_CRI,Persephona_edwardsii_PAN,Persephona_subovata_MEX,Persephona_townsendi_PAN,Iliacantha_hancocki_CRI,Lithadia_cadaverosa_LA_USA,Ebalia_cariosa_GMx
0,0.01,0.013,0.102,0.104,0.102,0.106,0.106,0.106,0.102,0.102,0.157,0.157,0.16,0.162,0.158,0.15,0.155,0.149,0.167,0.163,0.155,0.163,0.16,0.15
0.01,0,0.003,0.102,0.104,0.102,0.099,0.099,0.102,0.102,0.102,0.153,0.153,0.157,0.158,0.155,0.152,0.153,0.155,0.17,0.165,0.162,0.165,0.163,0.155
0.013,0.003,0,0.099,0.101,0.099,0.096,0.096,0.099,0.099,0.099,0.153,0.153,0.157,0.158,0.155,0.152,0.153,0.155,0.168,0.162,0.162,0.162,0.162,0.155
0.102,0.102,0.099,0,0.005,0.003,0.03,0.03,0.03,0.003,0.003,0.167,0.167,0.178,0.18,0.177,0.173,0.158,0.178,0.175,0.172,0.185,0.175,0.17,0.16
0.104,0.104,0.101,0.005,0,0.002,0.028,0.028,0.028,0.002,0.002,0.168,0.168,0.18,0.182,0.178,0.175,0.16,0.177,0.173,0.17,0.183,0.173,0.172,0.162
0.102,0.102,0.099,0.003,0.002,0,0.026,0.026,0.026,0,0,0.167,0.167,0.167,0.18,0.177,0.173,0.158,0.178,0.175,0.172,0.185,0.175,0.17,0.16
0.106,0.099,0.096,0.03,0.028,0.026,0,0,0.003,0.026,0.026,0.168,0.168,0.183,0.185,0.182,0.175,0.163,0.183,0.173,0.178,0.19,0.178,0.162,0.158
0.106,0.099,0.096,0.03,0.028,0.026,0,0,0.003,0.026,0.026,0.168,0.168,0.183,0.185,0.182,0.175,0.163,0.183,0.173,0.178,0.19,0.178,0.162,0.158
0.106,0.102,0.099,0.03,0.028,0.026,0.003,0.003,-1,0.026,0.026,0.172,0.172,0.186,0.188,0.185,0.173,0.165,0.185,0.177,0.178,0.188,0.178,0.162,0.158
0.102,0.102,0.099,0.003,0.002,0,0.026,0.026,0.026,0,0,0.167,0.167,0.178,0.18,0.177,0.173,0.158,0.178,0.175,0.172,0.185,0.175,0.17,0.16
0.102,0.102,0.099,0.003,0.002,0,0.026,0.026,0.026,0,0,0.167,0.167,0.178,0.18,0.177,0.173,0.158,0.178,0.175,0.172,0.185,0.175,0.17,0.16
0.157,0.153,0.153,0.167,0.168,0.167,0.168,0.168,0.172,0.167,0.167,0,0,0.033,0.031,0.031,0.14,0.132,0.172,0.17,0.167,0.168,0.163,0.182,0.17
0.157,0.153,0.153,0.167,0.168,0.167,0.168,0.168,0.172,0.167,0.167,0,0,0.033,0.031,0.031,0.14,0.132,0.172,0.17,0.167,0.168,0.163,0.182,0.17
0.16,0.157,0.157,0.178,0.18,0.167,0.183,0.183,0.186,0.178,0.178,0.033,0.033,0,0.005,0.008,0.142,0.127,0.17,0.167,0.155,0.173,0.152,0.185,0.175
0.162,0.158,0.158,0.18,0.182,0.18,0.185,0.185,0.188,0.18,0.18,0.031,0.031,0.005,0,0.007,0.139,0.124,0.172,0.167,0.152,0.175,0.149,0.185,0.173
0.158,0.155,0.155,0.177,0.178,0.177,0.182,0.182,0.185,0.177,0.177,0.031,0.031,0.008,0.007,0,0.142,0.127,0.172,0.163,0.158,0.175,0.155,0.182,0.173
0.15,0.152,0.152,0.173,0.175,0.173,0.175,0.175,0.173,0.173,0.173,0.14,0.14,0.142,0.139,0.142,0,0.036,0.165,0.134,0.155,0.165,0.152,0.163,0.152
0.155,0.153,0.153,0.158,0.16,0.158,0.163,0.163,0.165,0.158,0.158,0.132,0.132,0.127,0.124,0.127,0.036,0,0.168,0.139,0.144,0.172,0.147,0.16,0.145
0.149,0.155,0.155,0.178,0.177,0.178,0.183,0.183,0.185,0.178,0.178,0.172,0.172,0.17,0.172,0.172,0.165,0.168,0,0.177,0.173,0.017,0.177,0.19,0.191
0.167,0.17,0.168,0.175,0.173,0.175,0.173,0.173,0.177,0.175,0.175,0.17,0.17,0.167,0.167,0.163,0.134,0.139,0.177,0,0.167,0.183,0.163,0.18,0.165
0.163,0.165,0.162,0.172,0.17,0.172,0.178,0.178,0.178,0.172,0.172,0.167,0.167,0.155,0.152,0.158,0.155,0.144,0.173,0.167,0,0.183,0.003,0.177,0.157
0.155,0.162,0.162,0.185,0.183,0.185,0.19,0.19,0.188,0.185,0.185,0.168,0.168,0.173,0.175,0.175,0.165,0.172,0.017,0.183,0.183,0,0.186,0.193,0.193
0.163,0.165,0.162,0.175,0.173,0.175,0.178,0.178,0.178,0.175,0.175,0.163,0.163,0.152,0.149,0.155,0.152,0.147,0.177,0.163,0.003,0.186,0,0.177,0.157
0.16,0.163,0.162,0.17,0.172,0.17,0.162,0.162,0.162,0.17,0.17,0.182,0.182,0.185,0.185,0.182,0.163,0.16,0.19,0.18,0.177,0.193,0.177,0,0.124
0.15,0.155,0.155,0.16,0.162,0.16,0.158,0.158,0.158,0.16,0.16,0.17,0.17,0.175,0.173,0.173,0.152,0.145,0.191,0.165,0.157,0.193,0.157,0.124,0
